date,temperature,humidity,light,co2,humidity_ratio,occupancy,predictions
2015-02-02 14:21:00,23.73,26.23,572.666666666667,769.666666666667,0.00476515255246541,1,0
2015-02-02 14:22:00,23.7225,26.125,493.75,774.75,0.00474377335599685,1,0
2015-02-02 14:23:00,23.754,26.2,488.6,779.0,0.00476659399998615,1,0
2015-02-02 14:24:00,23.76,26.26,568.666666666667,790.0,0.00477933243163454,1,0
2015-02-02 14:25:00,23.73,26.29,536.333333333333,798.0,0.004776136332748921,1,0
2015-02-02 17:34:00,22.6,25.0666666666667,428.333333333333,849.333333333333,0.00424961035468154,0,1
2015-02-02 17:35:00,22.6,25.2,422.5,853.0,0.0042723699287058,0,1
2015-02-02 17:36:00,22.6,25.2,423.666666666667,853.0,0.0042723699287058,0,1
2015-02-02 17:37:00,22.54,25.16,424.6,852.0,0.0042499210749079,0,1
2015-02-02 17:38:00,22.54,25.16,427.4,853.6,0.0042499210749079,0,1
2015-02-02 17:39:00,22.54,25.14,421.8,845.6,0.0042465196948245,0,1
2015-02-02 17:40:00,22.525,25.1,426.0,834.25,0.00423582915169482,0,1
2015-02-02 17:41:00,22.5,25.04,421.8,826.4,0.00421917771792251,0,1
2015-02-02 17:42:00,22.5,25.0,419.0,819.6,0.004212392172552679,0,1
2015-02-02 17:43:00,22.5,25.0,419.0,829.6,0.004212392172552679,0,1
2015-02-02 17:44:00,22.5,25.0,419.0,824.0,0.004212392172552679,0,1
2015-02-02 17:45:00,22.5,24.912,419.0,814.2,0.0041974644903524,0,1
2015-02-02 17:46:00,22.5,24.89,419.0,813.5,0.0041937326810038,0,1
2015-02-02 17:47:00,22.5,24.89,419.0,813.8,0.0041937326810038,0,1
2015-02-02 17:48:00,22.5,24.89,419.0,811.0,0.0041937326810038,0,1
2015-02-02 17:49:00,22.478,24.87,419.0,804.6,0.00418470411108146,0,1
2015-02-02 17:50:00,22.456,24.83,419.0,807.8,0.004172308180643121,0,1
2015-02-02 17:51:00,22.5,24.856666666666694,419.0,802.333333333333,0.00418807850916583,0,1
2015-02-02 17:52:00,22.4175,24.7475,419.0,796.75,0.00414856636550583,0,1
2015-02-02 17:53:00,22.456,24.81,419.0,794.4,0.00416892495641864,0,1
2015-02-02 17:54:00,22.39,24.7,419.0,790.6,0.00413358648459168,0,1
2015-02-02 17:55:00,22.4175,24.7225,419.0,789.75,0.0041443475474366,0,1
2015-02-02 17:56:00,22.39,24.7,419.0,782.2,0.00413358648459168,0,1
2015-02-02 18:04:00,22.39,25.0925,310.25,809.0,0.00419971552453032,1,0
2015-02-03 07:36:00,20.29,22.79,217.2,441.6,0.00334900175851823,1,0
2015-02-03 07:37:00,20.29,22.856666666666694,413.666666666667,442.666666666667,0.00335885136110578,1,0
2015-02-03 07:38:00,20.29,22.956,433.0,445.6,0.00337352784454795,1,0
2015-02-03 07:40:00,20.315,23.1,419.0,459.25,0.00340008273894569,0,1
2015-02-03 07:41:00,20.29,23.2,419.0,470.4,0.003409581728402,0,1
2015-02-03 07:42:00,20.31,23.2,416.2,466.0,0.00341382178221691,0,1
2015-02-03 09:10:00,21.1333333333333,24.823333333333306,444.0,747.333333333333,0.0038453769536416797,0,1
2015-02-03 09:11:00,21.1666666666667,24.858333333333306,444.0,745.5,0.0038587703976974298,0,1
2015-02-03 11:48:00,22.2,27.642857142857103,535.714285714286,1137.85714285714,0.00457612602181138,0,1
2015-02-03 12:19:00,22.39,27.29,603.6,1064.0,0.00457021208799111,0,1
2015-02-03 12:20:00,22.39,27.2675,587.5,1065.25,0.0045664163863674105,0,1
2015-02-03 12:21:00,22.39,27.2,575.0,1050.5,0.004555029557419221,0,1
2015-02-03 12:36:00,22.6666666666667,26.713333333333306,652.5,1030.33333333333,0.00454931379169049,1,0
2015-02-03 12:37:00,22.675,26.675,652.75,1028.5,0.0045450525434806,1,0
2015-02-03 12:38:00,22.7,26.7,654.2,1020.4,0.00455630013842985,1,0
2015-02-03 12:39:00,22.7,26.6833333333333,656.166666666667,1023.66666666667,0.0045534351851525285,1,0
2015-02-03 12:40:00,22.7225,26.6,650.75,1021.25,0.00454535611417879,1,0
2015-02-03 12:41:00,22.745,26.6,663.75,1014.75,0.0045516089930389,1,0
2015-02-03 12:42:00,22.745,26.55,651.0,1017.0,0.00454299084786184,1,0
2015-02-03 12:43:00,22.79,26.516666666666694,648.333333333333,1014.16666666667,0.00454973424512434,1,0
2015-02-03 12:44:00,22.79,26.6,651.0,1022.5,0.00456413751185785,1,0
2015-02-03 12:45:00,22.79,26.525,651.0,1027.25,0.00455117454199881,1,0
2015-02-03 12:46:00,22.84,26.5,651.0,1022.0,0.0045607566708699395,1,0
2015-02-03 12:47:00,22.87,26.456,657.8,1019.0,0.00456147435928116,1,0
2015-02-03 12:48:00,22.89,26.445,668.0,1020.75,0.00456513280446388,1,0
2015-02-03 12:49:00,22.89,26.39,668.0,1015.5,0.00455556875653445,1,0
2015-02-03 12:50:00,22.908333333333307,26.39,663.666666666667,1016.0,0.0045606681018561706,1,0
2015-02-03 12:51:00,22.956,26.39,664.6,1011.0,0.00457394996276206,1,0
2015-02-03 12:52:00,22.963333333333306,26.29,668.0,1018.66666666667,0.0045585293816626,1,0
2015-02-03 12:53:00,23.0,26.29,662.333333333333,1006.33333333333,0.00456873404646213,1,0
2015-02-03 12:54:00,22.956,26.236,647.8,1008.2,0.0045470633523686296,1,0
2015-02-03 12:55:00,23.0,26.2,651.666666666667,1009.33333333333,0.0045529791622493715,1,0
2015-02-03 12:56:00,23.0,26.2,651.666666666667,1006.16666666667,0.0045529791622493715,1,0
2015-02-03 12:57:00,23.02,26.16,650.0,1004.4,0.00455152394293641,1,0
2015-02-03 12:58:00,23.025,26.125,653.75,999.75,0.0045467755876304715,1,0
2015-02-03 12:59:00,23.05,26.0833333333333,660.0,994.166666666667,0.0045463940091089285,1,0
