date,temperature,humidity,light,co2,humidity_ratio,occupancy,weekday,predictions
2015-02-12 08:37:00,20.625,22.1,440.0,698.0,0.00331528078129294,1,1,0
2015-02-12 12:56:00,24.39,23.3925,236.5,852.5,0.004419016905017121,1,1,0
2015-02-12 13:26:00,24.2,23.745,690.5,729.0,0.00443492824164674,0,1,1
2015-02-12 16:10:00,22.39,26.0,191.5,534.5,0.00435266610171691,1,1,0
2015-02-13 09:59:00,22.65,24.8975,726.75,585.0,0.00423365443407076,0,1,1
2015-02-13 10:08:00,22.79,24.7225,723.5,593.0,0.00423979243887682,1,1,0
2015-02-13 13:47:00,23.745,25.9725,659.25,567.5,0.00472231221446236,1,1,0
2015-02-13 18:05:00,21.29,32.79,0.0,577.0,0.00513916508328268,1,1,0
2015-02-16 08:52:00,20.6,25.2,405.0,875.75,0.0037772867780388,1,1,0
2015-02-16 12:54:00,21.5,28.0666666666667,464.0,898.333333333333,0.004450964667878,1,1,0
2015-02-16 13:27:00,21.5,28.2675,459.0,860.0,0.00448304346261749,1,1,0
2015-02-17 13:28:00,21.675,33.19,431.0,1139.5,0.0053275613281910895,0,1,1
