date,temperature,humidity,light,co2,humidity_ratio,occupancy,weekday,predictions
2015-02-12 08:34:00,20.6,22.2,442.75,681.75,0.00332520581189891,0,1,1
2015-02-12 12:56:00,24.39,23.3925,236.5,852.5,0.004419016905017121,1,1,0
2015-02-12 13:26:00,24.2,23.745,690.5,729.0,0.00443492824164674,0,1,1
2015-02-12 16:10:00,22.39,26.0,191.5,534.5,0.00435266610171691,1,1,0
2015-02-12 17:44:00,21.89,27.89,279.33333333333303,603.666666666667,0.00453025289350595,1,1,0
2015-02-13 08:59:00,21.29,25.463333333333303,510.333333333333,528.666666666667,0.00398350506075498,0,1,1
2015-02-13 09:59:00,22.65,24.8975,726.75,585.0,0.00423365443407076,0,1,1
2015-02-13 10:04:00,22.7225,25.0475,714.5,613.0,0.00427824323616494,0,1,1
2015-02-13 13:47:00,23.745,25.9725,659.25,567.5,0.00472231221446236,1,1,0
2015-02-13 18:05:00,21.29,32.79,0.0,577.0,0.00513916508328268,1,1,0
2015-02-16 08:52:00,20.6,25.2,405.0,875.75,0.0037772867780388,1,1,0
2015-02-16 11:58:00,21.5,28.15,454.0,962.5,0.00446427497232075,1,1,0
2015-02-17 08:39:00,20.5666666666667,30.5,301.0,785.666666666667,0.00456809398968827,1,1,0
2015-02-17 13:28:00,21.675,33.19,431.0,1139.5,0.0053275613281910895,0,1,1
